journal_name,pissn,eissn,impact_factor,best_quartile,all_quartiles
Ore and Energy Resource Geology,,2666-2612,1.0,Q3,Q3|Q4
ORE GEOLOGY REVIEWS,0169-1368,1872-7360,4.3,Q1,Q1
OREGON HISTORICAL QUARTERLY,0030-4727,,0.2,Q3,Q3
Organic Agriculture,1879-4238,1879-4246,3.6,Q2,Q2
ORGANIC & BIOMOLECULAR CHEMISTRY,1477-0520,1477-0539,2.8,Q2,Q2
Organic Chemistry Frontiers,,2052-4129,4.5,Q1,Q1
Organic Communications,1307-6175,1307-6175,1.5,Q3,Q3
ORGANIC ELECTRONICS,1566-1199,1878-5530,2.9,Q3,Q3
ORGANIC GEOCHEMISTRY,0146-6380,1873-5290,2.8,Q2,Q2
ORGANIC LETTERS,1523-7060,1523-7052,4.7,Q1,Q1
ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,0030-4948,1945-5453,1.1,Q3,Q3
ORGANIC PROCESS RESEARCH & DEVELOPMENT,1083-6160,1520-586X,3.3,Q1,Q1|Q2
ORGANIC SYNTHESES,0078-6209,2333-3553,0.7,Q4,Q4
Organics,,2673-401X,3.2,Q2,Q2
Organisational and Social Dynamics,1474-2780,2044-3765,0.1,Q4,Q4
Organised Sound,1355-7718,1469-8153,0.5,,
ORGANISMS DIVERSITY & EVOLUTION,1439-6092,1618-1077,1.8,Q2,Q2|Q4
Organizacija,1318-5454,1581-1832,1.3,Q4,Q4
ORGANIZATION,1350-5084,1461-7323,3.3,Q2,Q2
ORGANIZATION & ENVIRONMENT,1086-0266,1552-7417,8.1,Q1,Q1
ORGANIZATION SCIENCE,1047-7039,,5.7,Q1,Q1
ORGANIZATION STUDIES,0170-8406,1741-3044,6.4,Q1,Q1
Organization Technology and Management in Construction,1847-5450,1847-6228,0.9,Q4,Q4
Organization Theory,,2631-7877,7.0,Q1,Q1
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,0749-5978,1095-9920,5.0,Q1,Q1|Q2
ORGANIZATIONAL DYNAMICS,0090-2616,1873-3530,6.3,Q1,Q1
Organizational Psychology Review,2041-3866,2041-3874,3.8,Q1,Q1|Q2
ORGANIZATIONAL RESEARCH METHODS,1094-4281,1552-7425,8.7,Q1,Q1
Organizations and Markets in Emerging Economies,2029-4581,2345-0037,1.0,Q3,Q3
Organizatsionnaya Psikologiya,2312-5942,2312-5942,0.3,Q4,Q4
Organogenesis,1547-6278,1555-8592,6.3,Q1,Q1
Organoids,,2674-1172,2.8,Q3,Q3
ORGANOMETALLICS,0276-7333,1520-6041,2.4,Q2,Q2|Q3
Organon F,1335-0668,2585-7150,0.2,,
Oriens,0078-6527,1877-8372,0.7,,
ORIENTAL INSECTS,0030-5316,2157-8745,0.7,Q4,Q4
Oriental Journal of Chemistry,0970-020X,2231-5039,0.7,Q4,Q4
Origini,0474-6805,0474-6805,0.1,,
ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,0169-6149,1573-0875,1.4,Q3,Q3
ORIZZONTI,1591-2787,1724-1936,0.1,,
ORL-Journal for Oto-Rhino-Laryngology Head and Neck Surgery,0301-1569,1423-0275,2.0,Q2,Q2
Ornamental Horticulture-Revista Brasileira de Horticultura Ornamental,,2447-536X,1.1,Q3,Q3|Q4
Ornamental Plant Research,,2769-2094,3.1,Q2,Q2
ORNIS FENNICA,0030-5685,0030-5685,0.7,Q3,Q3
ORNIS HUNGARICA,1215-1610,2061-9588,0.4,Q4,Q4
Ornithological Applications,0010-5422,2732-4621,2.7,Q1,Q1
ORNITHOLOGICAL SCIENCE,1347-0558,1347-0558,0.5,Q4,Q4
Ornithology,0004-8038,2732-4613,1.9,Q1,Q1
Ornithology Research,,2662-673X,0.8,Q3,Q3
ORNITOLOGIA NEOTROPICAL,1075-4377,1075-4377,0.4,Q4,Q4
Orphanet Journal of Rare Diseases,,1750-1172,3.6,Q2,Q2
Orthodontics & Craniofacial Research,1601-6335,1601-6343,2.7,Q2,Q2
Orthopadie,2731-7145,2731-7153,0.8,Q4,Q4
Orthopaedic Journal of Sports Medicine,,2325-9671,2.9,Q1,Q1|Q2
Orthopaedic Nursing,0744-6020,1542-538X,0.9,Q4,Q4
Orthopaedic Surgery,1757-7853,1757-7861,2.5,Q2,Q2
Orthopaedics & Traumatology-Surgery & Research,1877-0568,1877-0568,2.7,Q1,Q1|Q2
ORTHOPEDIC CLINICS OF NORTH AMERICA,0030-5898,1558-1373,2.0,Q2,Q2
Orthopedic Research and Reviews,,1179-1462,2.0,Q2,Q2
Orthopedic Reviews,2035-8237,2035-8164,1.6,Q3,Q3
ORTHOPEDICS,0147-7447,1938-2367,1.3,Q3,Q3
ORVOSI HETILAP,0030-6002,1788-6120,1.0,Q3,Q3
ORYX,0030-6053,1365-3008,2.6,Q2,Q2
OSAKA JOURNAL OF MATHEMATICS,0030-6126,,0.4,Q4,Q4
OSGOODE HALL LAW JOURNAL,0030-6185,0030-6185,0.5,Q3,Q3
OSIRIS,0369-7827,1933-8287,1.3,Q1,Q1
Osmanli Arastirmalari-The Journal of Ottoman Studies,0255-0636,0255-0636,<0.1,Q4,Q4
Osong Public Health and Research Perspectives,2210-9099,2233-6052,1.4,Q4,Q4
Osteoarthritis and Cartilage,1063-4584,1522-9653,9.2,Q1,Q1
Osteoarthritis and Cartilage Open,,2665-9131,2.9,Q1,Q1|Q2
Osteologie,1019-1291,2567-5818,0.6,Q4,Q4
Osteoporosis and Sarcopenia,2405-5255,2405-5263,2.4,Q2,Q2|Q3
OSTEOPOROSIS INTERNATIONAL,0937-941X,1433-2965,5.4,Q1,Q1
Osterreichische Zeitschrift fuer Soziologie,1011-0070,1862-2585,0.4,Q4,Q4
OSTERREICHISCHE ZEITSCHRIFT FUR VOLKSKUNDE,0029-9669,,0.1,,
Osterreichisches Religionspadagogisches Forum,1018-1539,1018-1539,0.2,,
OSTEUROPA,0030-6428,2509-3444,0.1,Q4,Q4
OSTRICH,0030-6525,1727-947X,0.7,Q3,Q3
OTJR-Occupational Therapy Journal of Research,1539-4492,1938-2383,1.4,Q3,Q3
OTO Open,,2473-974X,1.6,Q2,Q2
OTOLARYNGOLOGIC CLINICS OF NORTH AMERICA,0030-6665,1557-8259,1.9,Q2,Q2
Otolaryngology Case Reports,2468-5488,2468-5488,0.3,Q4,Q4
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,0194-5998,1097-6817,2.6,Q1,Q1|Q2
OTOLOGY & NEUROTOLOGY,1531-7129,1537-4505,1.7,Q2,Q2|Q3
Otology & Neurotology Open,,2766-3604,1.3,Q3,Q3
Otoritas-Jurnal Ilmu Pemerintahan,2088-3706,2502-9320,0.3,Q4,Q4
OUD HOLLAND,,1875-0176,0.2,,
OUTLOOK ON AGRICULTURE,0030-7270,2043-6866,3.2,Q2,Q2
OVERLAND,0030-7416,,0.4,,
Ovidius University Annals of Chemistry,1583-2430,2286-038X,1.2,Q4,Q4
OXFORD ART JOURNAL,0142-6540,1741-7287,0.1,,
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,0305-9049,1468-0084,2.1,Q1,Q1|Q2
Oxford Development Studies,1360-0818,1469-9966,1.6,Q3,Q3
OXFORD ECONOMIC PAPERS-NEW SERIES,0030-7653,1464-3812,2.8,Q1,Q1
OXFORD GERMAN STUDIES,0078-7191,1745-9214,0.2,,
Oxford Journal of Archaeology,0262-5253,1468-0092,0.8,,
Oxford Journal of Law and Religion,2047-0770,2047-0789,0.8,Q2,Q2
Oxford Journal of Legal Studies,0143-6503,1464-3820,1.4,Q1,Q1
OXFORD LITERARY REVIEW,0305-1498,1757-1634,0.4,,
Oxford Medical Case Reports,2053-8855,2053-8855,0.6,Q3,Q3
Oxford Open Climate Change,,2634-4068,6.3,Q1,Q1
Oxford Open Energy,,2752-5082,3.4,Q2,Q2|Q3
Oxford Open Materials Science,2633-6979,2633-6979,4.3,Q2,Q2
OXFORD REVIEW OF ECONOMIC POLICY,0266-903X,1460-2121,2.0,Q2,Q2
OXFORD REVIEW OF EDUCATION,0305-4985,1465-3915,2.3,Q2,Q2
Oxygen,,2673-9801,3.7,Q2,Q2
OZONE-SCIENCE & ENGINEERING,0191-9512,1547-6545,2.3,Q3,Q3|Q4
P-Adic Numbers Ultrametric Analysis and Applications,2070-0466,2070-0474,0.5,Q4,Q4
PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,0147-8389,1540-8159,1.3,Q4,Q4
PACHYDERM,1026-2881,,0.3,Q4,Q4
Pacific Accounting Review,0114-0582,2041-5494,2.1,Q2,Q2
PACIFIC AFFAIRS,0030-851X,1715-3379,1.4,Q1,Q1
Pacific Asia Journal of the Association for Information Systems,1943-7536,1943-7544,2.9,Q2,Q2
Pacific-Basin Finance Journal,0927-538X,1879-0585,5.4,Q1,Q1
Pacific Business Review International,0974-438X,0974-438X,0.2,Q4,Q4
PACIFIC CONSERVATION BIOLOGY,1038-2097,2204-4604,1.5,Q3,Q3
Pacific Economic Review,1361-374X,1468-0106,1.5,Q3,Q3
Pacific Focus,1225-4657,1976-5118,1.1,Q2,Q2|Q3
PACIFIC HISTORICAL REVIEW,0030-8684,,0.4,Q2,Q2
PACIFIC JOURNAL OF MATHEMATICS,0030-8730,1945-5844,0.7,Q3,Q3
Pacific Journal of Optimization,1348-9151,1348-9151,0.8,Q3,Q3|Q4
Pacific Journalism Review,1023-9499,2324-2035,0.4,Q4,Q4
PACIFIC NORTHWEST QUARTERLY,0030-8803,2327-9753,<0.1,Q4,Q4
PACIFIC PHILOSOPHICAL QUARTERLY,0279-0750,1468-0114,1.0,,
PACIFIC REVIEW,0951-2748,1470-1332,2.4,Q1,Q1|Q2
Pacific Rim International Journal of Nursing Research,1906-8107,1906-8107,0.7,Q4,Q4
Pacific Rim Property Research Journal,1444-5921,2201-6716,0.3,Q4,Q4
PACIFIC SCIENCE,0030-8870,1534-6188,0.6,Q4,Q4
PACKAGING TECHNOLOGY AND SCIENCE,0894-3214,1099-1522,4.7,Q2,Q2
Paddy and Water Environment,1611-2490,1611-2504,2.1,Q2,Q2|Q3
PAEDAGOGICA HISTORICA,0030-9230,1477-674X,0.5,Q3,Q3|Q4
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,0269-5022,1365-3016,2.7,Q1,Q1|Q2
Paediatric Respiratory Reviews,1526-0542,1526-0550,3.4,Q1,Q1|Q2
Paediatrica Indonesiana,0030-9311,2338-476X,0.3,Q4,Q4
Paediatrics and International Child Health,2046-9047,2046-9055,1.6,Q3,Q3
Paediatrics & Child Health,1205-7088,1918-1485,2.5,Q1,Q1
PAEDIATRIE UND PAEDOLOGIE,0030-9338,1613-7558,0.1,Q4,Q4
Paginas de Educacion,1688-5287,1688-7468,0.5,Q4,Q4
Paideusis-The Journal of the Canadian Philosophy of Education Society,,1916-0348,0.5,Q4,Q4
PAIN,0304-3959,1872-6623,5.8,Q1,Q1
Pain and Therapy,2193-8237,2193-651X,4.4,Q1,Q1
Pain Management,1758-1869,1758-1877,1.7,Q3,Q3
Pain Management Nursing,1524-9042,1532-8635,2.5,Q2,Q2
PAIN MEDICINE,1526-2375,1526-4637,4.0,Q1,Q1
Pain Physician,1533-3159,,3.2,Q2,Q2
Pain Practice,1530-7085,1533-2500,2.7,Q2,Q2|Q3
Pain Reports,,2471-2531,4.3,Q1,Q1|Q2
Pain Research & Management,1203-6765,1918-1523,3.1,Q2,Q2
Pakistan Heart Journal,0048-2706,2227-9199,0.5,Q4,Q4
PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES,0552-9034,2076-0906,1.3,Q3,Q3
Pakistan Journal of Analytical & Environmental Chemistry,1996-918X,2221-5255,0.4,Q4,Q4
PAKISTAN JOURNAL OF BOTANY,0556-3321,2070-3368,1.1,Q3,Q3
Pakistan Journal of Medical Sciences,1682-024X,1681-715X,1.6,Q2,Q2
Pakistan Journal of Pharmaceutical Sciences,1011-601X,1011-601X,0.6,Q4,Q4
Pakistan Journal of Statistics and Operation Research,1816-2711,2220-5810,1.5,Q2,Q2
PAKISTAN VETERINARY JOURNAL,0253-8318,2074-7764,6.5,Q1,Q1
Palabra,0121-8530,2346-3864,0.2,,
Palabra Clave,0122-8285,2027-534X,0.7,Q3,Q3
Palaeobiodiversity and Palaeoenvironments,1867-1594,1867-1608,1.8,Q2,Q2|Q3
Palaeobulgarica-Starobalgaristika,0204-4021,2603-2899,0.2,,
Palaeoentomology,2624-2826,2624-2834,1.8,Q2,Q2
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,0031-0182,1872-616X,2.9,Q1,Q1|Q2
Palaeohispanica-Revista sobre Lenguas y Culturas de la Hispania Antigua,1578-5386,2603-7637,0.4,,
PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,0375-0442,0375-0442,1.0,Q4,Q4
Palaeontographica Abteilung B-Palaeophytologie Palaeobotany-Palaeophytology,2194-900X,2509-839X,0.3,Q4,Q4
PALAEONTOLOGIA ELECTRONICA,1935-3952,1094-8074,1.9,Q2,Q2
PALAEONTOLOGY,0031-0239,1475-4983,3.2,Q1,Q1
Palaeoworld,1871-174X,1875-5887,1.5,Q2,Q2
Palaestra,8756-5811,2372-1391,0.2,Q4,Q4
PALAIOS,0883-1351,1938-5323,2.0,Q1,Q1
Palawan Scientist,2467-5903,2467-5903,0.3,Q4,Q4
PaleoAmerica,2055-5563,2055-5571,1.3,Q2,Q2
PALEOBIOLOGY,0094-8373,1938-5331,2.9,Q1,Q1|Q2
Paleoceanography and Paleoclimatology,2572-4517,2572-4525,3.0,Q1,Q1|Q2
PALEONTOLOGICAL JOURNAL,0031-0301,1555-6174,0.7,Q4,Q4
PALEONTOLOGICAL RESEARCH,1342-8144,,0.6,Q4,Q4
Palestine Exploration Quarterly,0031-0328,1743-1301,0.6,Q1,Q1
Palimpsest-A Journal on Women Gender and the Black International,2165-1604,2165-1612,0.1,Q4,Q4
Palliative Care & Social Practice,2632-3524,2632-3524,2.7,Q2,Q2
PALLIATIVE MEDICINE,0269-2163,1477-030X,6.4,Q1,Q1
Palliative Medicine in Practice,2545-0425,2545-1359,1.0,Q4,Q4
Palliative Medicine Reports,2689-2820,2689-2820,1.3,Q4,Q4
Palliative & Supportive Care,1478-9515,1478-9523,2.4,Q2,Q2
PALYNOLOGY,0191-6122,1558-9188,1.7,Q2,Q2|Q3
PalZ,0031-0220,1867-6812,1.5,Q2,Q2
Pamatky Archeologicke,0031-0506,,0.8,,
Pamiec i Sprawiedliwosc,1427-7476,1427-7476,0.1,Q3,Q3
PAMIETNIK LITERACKI,0031-0514,0031-0514,0.1,,
Pampa,1669-3299,2314-0208,0.4,Q3,Q3
Pamukkale Universitesi Egitim Fakultesi Dergisi-Pamukkale University Journal of Education,1301-0085,1309-0275,0.3,Q4,Q4
Pamukkale University Journal of Engineering Sciences-Pamukkale Universitesi Muhendislik Bilimleri Dergisi,1300-7009,2147-5881,0.5,Q4,Q4
Pan African Medical Journal,,1937-8688,0.9,Q4,Q4
PAN-PACIFIC ENTOMOLOGIST,0031-0603,2162-0237,0.5,Q4,Q4
Panacea-Boletin de Medicina y Traduccion,1537-1964,1537-1964,0.3,Q4,Q4
PANCREAS,0885-3177,1536-4828,2.2,Q3,Q3
Pancreatology,1424-3903,1424-3911,3.9,Q2,Q2
Panoeconomicus,1452-595X,2217-2386,0.8,Q3,Q3
Panorama,1909-7433,2145-308X,1.1,Q2,Q2
Panta Rei-Digital Journal of History and Didactics of History,1136-2464,2386-8864,0.4,Q2,Q2
Papeles,0123-0670,2346-0911,0.1,Q4,Q4
Papeles de Europa,1989-5917,1989-5917,0.1,Q4,Q4
Papeles de Identidad-Contar la Investigacion de Frontera,3045-5650,3045-5650,0.5,Q4,Q4
Papeles de Poblacion,1405-7425,1405-7425,0.3,Q4,Q4
Papeles de Trabajo,1851-2577,1851-2577,0.2,Q4,Q4
Papeles del CEIC-International Journal on Collective Identity Research,1695-6494,1695-6494,0.4,Q4,Q4
Papeles del Psicologo,0214-7823,1886-1415,0.9,Q3,Q3
Papers from the Institute of Archaeology,0965-9315,2041-9015,0.3,,
Papers in Palaeontology,2056-2799,2056-2802,2.4,Q1,Q1
Papers in Physics,1852-4249,1852-4249,0.9,Q3,Q3
PAPERS IN REGIONAL SCIENCE,1056-8190,1435-5957,4.0,Q1,Q1|Q2
PAPERS OF THE BIBLIOGRAPHICAL SOCIETY OF AMERICA,0006-128X,2377-6528,0.5,,
Papers of the British School at Rome,0068-2462,2045-239X,0.6,,
PAPERS ON LANGUAGE AND LITERATURE,0031-1294,,<0.1,,
Papers on Social Representations,1021-5573,1819-3978,0.7,Q4,Q4
Papers-Revista de Sociologia,0210-2862,2013-9004,0.7,Q3,Q3
Papireto,,2974-668X,<0.1,Q4,Q4
PARAGRAPH,0264-8334,1750-0176,0.4,,
Parallax,1353-4645,1460-700X,0.5,Q3,Q3
PARALLEL COMPUTING,0167-8191,1872-7336,1.1,Q3,Q3
Parallel Processing Letters,0129-6264,1793-642X,0.7,Q4,Q4
Parasite,1252-607X,1776-1042,2.8,Q2,Q2
Parasite Epidemiology and Control,2405-6731,2405-6731,2.4,Q2,Q2|Q3
PARASITE IMMUNOLOGY,0141-9838,1365-3024,1.2,Q4,Q4
Parasites Hosts and Diseases,2982-5164,2982-6799,1.6,Q3,Q3
Parasites & Vectors,1756-3305,1756-3305,3.7,Q1,Q1
Parasitologia,,2673-6772,1.5,Q3,Q3
Parasitologists United Journal,1687-7942,2090-2646,0.9,Q4,Q4
PARASITOLOGY,0031-1820,1469-8161,2.5,Q2,Q2
PARASITOLOGY INTERNATIONAL,1383-5769,1873-0329,2.1,Q2,Q2
PARASITOLOGY RESEARCH,0932-0113,1432-1955,1.9,Q3,Q3
Parenting-Science and Practice,1529-5192,1532-7922,1.4,Q2,Q2|Q4
PARERGON,0313-6221,1832-8334,0.3,,
PARIS REVIEW,0031-2037,0031-2037,0.1,,
PARKINSONISM & RELATED DISORDERS,1353-8020,1873-5126,4.3,Q1,Q1
Parkinsons Disease,2090-8083,2042-0080,2.2,Q3,Q3
PARLIAMENTARY AFFAIRS,0031-2290,1460-2482,1.8,Q2,Q2
Parliamentary History,0264-2824,1750-0206,0.2,Q3,Q3
Partecipazione e Conflitto,1972-7623,2035-6609,1.1,Q3,Q3
Partial Answers-Journal of Literature and the History of Ideas,1565-3668,1936-9247,0.1,,
Partial Differential Equations and Applications,2662-2963,2662-2971,2.6,Q1,Q1
Particle and Fibre Toxicology,1743-8977,1743-8977,10.6,Q1,Q1
PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,0934-0866,1521-4117,2.7,Q3,Q3
Particles,,2571-712X,2.3,Q2,Q2|Q3
PARTICULATE SCIENCE AND TECHNOLOGY,0272-6351,1548-0046,2.0,Q3,Q3
Particuology,1674-2001,2210-4291,4.7,Q2,Q2
Partner Abuse,1946-6560,1946-6579,0.8,Q4,Q4
PARTY POLITICS,1354-0688,1460-3683,2.4,Q2,Q2
Pasado y Memoria-Revista de Historia Contemporanea,1579-3311,2386-4745,0.2,Q3,Q3
Pasavento-Revista de Estudios Hispanicos,2255-4505,2255-4505,0.1,,
Pasos-Revista de Turismo y Patrimonio Cultural,1695-7121,1695-7121,0.6,Q4,Q4
Passagens-International Review of Political History and Legal Culture,1984-2503,1984-2503,0.1,Q3,Q3
PAST & PRESENT,0031-2746,1477-464X,1.4,Q1,Q1
Pastoral Care in Education,0264-3944,1468-0122,1.3,Q3,Q3
Pastoral Liturgy-Formation and Resources for Lectionary Worship,1446-0661,1446-0661,<0.1,,
Pastoral Psychology,0031-2789,1573-6679,1.2,Q3,Q3
Pastoralism-Research Policy and Practice,2041-7136,2041-7136,3.8,Q2,Q2
PATHOBIOLOGY,1015-2008,1423-0291,1.7,Q3,Q3|Q4
Pathogens,,2076-0817,3.8,Q2,Q2
Pathogens and Global Health,2047-7724,2047-7732,3.4,Q1,Q1
Pathologia,2306-8027,2310-1237,0.1,Q4,Q4
PATHOLOGICA,0031-2983,1591-951X,2.8,Q2,Q2
Pathologie,2731-7188,2731-7196,0.7,Q4,Q4
PATHOLOGY,0031-3025,1465-3931,3.9,Q1,Q1
PATHOLOGY INTERNATIONAL,,1440-1827,1.9,Q3,Q3
PATHOLOGY & ONCOLOGY RESEARCH,1219-4956,1532-2807,2.7,Q2,Q2|Q3
PATHOLOGY RESEARCH AND PRACTICE,0344-0338,1618-0631,3.7,Q1,Q1
PATHOPHYSIOLOGY,0928-4680,1873-149X,3.5,Q1,Q1
PATIENT EDUCATION AND COUNSELING,0738-3991,1873-5134,3.1,Q1,Q1|Q2
Patient-Patient Centered Outcomes Research,1178-1653,1178-1661,4.4,Q1,Q1
Patient Preference and Adherence,1177-889X,,2.6,Q2,Q2
Patient-Related Outcome Measures,1179-271X,1179-271X,2.4,Q2,Q2
Patient Safety in Surgery,1754-9493,1754-9493,3.3,Q1,Q1
Patrimonio e Memoria,1808-1967,1808-1967,<0.1,Q4,Q4
PATTERN ANALYSIS AND APPLICATIONS,1433-7541,1433-755X,2.6,Q3,Q3
PATTERN RECOGNITION,0031-3203,1873-5142,9.1,Q1,Q1
PATTERN RECOGNITION AND IMAGE ANALYSIS,1054-6618,1555-6212,0.4,Q4,Q4
PATTERN RECOGNITION LETTERS,0167-8655,1872-7344,3.5,Q2,Q2
Patterns,2666-3899,2666-3899,10.8,Q1,Q1
PATTERNS OF PREJUDICE,0031-322X,1461-7331,0.5,Q4,Q4
PCI JOURNAL,0887-9672,0887-9672,0.9,Q4,Q4
Peace and Conflict-Journal of Peace Psychology,1078-1919,1532-7949,1.4,Q4,Q4
Peace Economics Peace Science and Public Policy,1079-2457,1554-8597,1.9,Q2,Q2
Peace Review-A Journal of Social Justice,1040-2659,1469-9982,0.5,Q4,Q4
Peacebuilding,2164-7259,2164-7267,1.4,Q3,Q3
PEC Innovation,,2772-6282,2.1,Q3,Q3
Pedagogia Social Revista Interuniversitaria,1989-9742,1989-9742,0.6,Q4,Q4
Pedagogical Linguistics,2665-9581,2665-959X,0.4,Q4,Q4
Pedagogies,1554-480X,1554-4818,1.4,Q2,Q2
Pedagogika-Pedagogy,0861-3982,1314-8540,0.3,Q4,Q4
Pedagogische Studien,0165-0645,2666-3996,0.5,Q4,Q4
Pedagogy Culture and Society,1468-1366,1747-5104,2.1,Q2,Q2
Pedagogy in Health Promotion,2373-3799,2373-3802,1.3,Q3,Q3|Q4
Pedagogy of Physical Culture and Sports,,2664-9837,0.9,Q4,Q4
Pediatria-Asuncion,1683-979X,1683-9803,0.1,Q4,Q4
Pediatria i Medycyna Rodzinna-Paediatrics and Family Medicine,1734-1531,2451-0742,0.2,Q4,Q4
PEDIATRIC ALLERGY AND IMMUNOLOGY,0905-6157,1399-3038,4.5,Q1,Q1|Q2
Pediatric Allergy Immunology and Pulmonology,2151-321X,2151-3228,1.3,Q3,Q3|Q4
PEDIATRIC AND DEVELOPMENTAL PATHOLOGY,1093-5266,1615-5742,1.1,Q3,Q3|Q4
PEDIATRIC ANESTHESIA,1155-5645,1460-9592,1.6,Q3,Q3
Pediatric Anesthesia and Critical Care Journal,2281-8421,2281-8421,<0.1,Q4,Q4
PEDIATRIC ANNALS,0090-4481,1938-2359,0.9,Q3,Q3
PEDIATRIC BLOOD & CANCER,1545-5009,1545-5017,2.4,Q2,Q2|Q3
PEDIATRIC CARDIOLOGY,0172-0643,1432-1971,1.3,Q3,Q3|Q4
PEDIATRIC CLINICS OF NORTH AMERICA,0031-3955,1557-8240,2.2,Q2,Q2
Pediatric Critical Care Medicine,1529-7535,1947-3893,4.9,Q1,Q1
Pediatric Dental Journal,0917-2394,1880-3997,1.0,Q4,Q4
PEDIATRIC DENTISTRY,0164-1263,1942-5473,2.1,Q2,Q2
PEDIATRIC DERMATOLOGY,0736-8046,1525-1470,1.2,Q3,Q3
PEDIATRIC DIABETES,1399-543X,1399-5448,1.9,Q2,Q2|Q4
PEDIATRIC DRUGS,1174-5878,1179-2019,3.7,Q1,Q1|Q2
PEDIATRIC EMERGENCY CARE,0749-5161,1535-1815,1.1,Q3,Q3
PEDIATRIC EXERCISE SCIENCE,0899-8493,1543-2920,1.3,Q3,Q3|Q4
Pediatric Gastroenterology Hepatology & Nutrition,2234-8646,2234-8840,1.3,Q3,Q3
Pediatric Health Medicine and Therapeutics,,1179-9927,1.8,Q2,Q2
PEDIATRIC HEMATOLOGY AND ONCOLOGY,0888-0018,1521-0669,1.4,Q3,Q3|Q4
PEDIATRIC INFECTIOUS DISEASE JOURNAL,0891-3668,1532-0987,2.3,Q2,Q2|Q3
Pediatric Investigation,2096-3726,2574-2272,2.0,Q2,Q2
Pediatric Medicine,,2617-5428,0.8,Q4,Q4
PEDIATRIC NEPHROLOGY,0931-041X,1432-198X,2.5,Q1,Q1|Q2
PEDIATRIC NEUROLOGY,0887-8994,1873-5150,2.0,Q2,Q2|Q3
PEDIATRIC NEUROSURGERY,1016-2291,1423-0305,1.3,Q3,Q3|Q4
Pediatric Obesity,2047-6302,2047-6310,2.5,Q1,Q1
Pediatric Physical Therapy,0898-5669,1538-005X,1.9,Q2,Q2
PEDIATRIC PULMONOLOGY,8755-6863,1099-0496,2.4,Q2,Q2|Q3
Pediatric Quality & Safety,,2472-0054,1.2,Q3,Q3
PEDIATRIC RADIOLOGY,0301-0449,1432-1998,2.5,Q1,Q1|Q2
Pediatric Reports,2036-7503,2036-7503,1.9,Q2,Q2
PEDIATRIC RESEARCH,0031-3998,1530-0447,3.3,Q1,Q1
Pediatric Rheumatology,,1546-0096,2.3,Q2,Q2|Q3
PEDIATRIC SURGERY INTERNATIONAL,0179-0358,1437-9813,1.8,Q2,Q2
PEDIATRIC TRANSPLANTATION,1397-3142,1399-3046,1.4,Q3,Q3|Q4
PEDIATRICS,0031-4005,1098-4275,6.1,Q1,Q1
Pediatrics and Neonatology,1875-9572,2212-1692,2.3,Q2,Q2
PEDIATRICS IN REVIEW,0191-9601,1526-3347,1.5,Q3,Q3
PEDIATRICS INTERNATIONAL,1328-8067,1442-200X,0.9,Q3,Q3
PEDOBIOLOGIA,0031-4056,1873-1511,2.6,Q2,Q2|Q3
PEDOSPHERE,1002-0160,2210-5107,7.0,Q1,Q1
Peer Community Journal,,2804-3871,2.2,Q2,Q2
Peer-to-Peer Networking and Applications,1936-6442,1936-6450,3.2,Q2,Q2|Q3
PeerJ,2167-8359,2167-8359,2.9,Q2,Q2
PeerJ Computer Science,,2376-5992,2.9,Q2,Q2|Q3
Pennsylvania History-A Journal of Mid-Atlantic Studies,0031-4528,2153-2109,0.1,Q3,Q3
PENNSYLVANIA MAGAZINE OF HISTORY AND BIOGRAPHY,0031-4587,2169-8546,0.1,Q3,Q3
PENSAMIENTO,0031-4749,2386-5822,0.2,,
Pensamiento al Margen,2386-6098,2386-6098,0.1,Q4,Q4
Pensando Psicologia,1900-3099,2382-3984,<0.1,Q4,Q4
Pensando-Revista de Filosofia,2178-843X,2178-843X,<0.1,,
Pensar en Movimiento-Revista de Ciencias del Ejercicio y la Salud,1409-0724,1659-4436,0.2,Q4,Q4
PentecoStudies-An Interdisciplinary Journal for Research on the Pentecostal and Charismatic Movements,2041-3599,1871-7691,0.1,,
People and Nature,,2575-8314,5.8,Q1,Q1
Peptide Science,2475-8817,2475-8817,1.9,Q4,Q4
PEPTIDES,0196-9781,1873-5169,3.5,Q2,Q2
Per Linguam-A Journal of Language Learning,0259-2312,2224-0012,0.5,Q4,Q4
Percees-Explorations En Arts Vivants,,2563-660X,<0.1,,
PERCEPTION,0301-0066,1468-4233,1.5,Q3,Q3|Q4
PERCEPTUAL AND MOTOR SKILLS,0031-5125,1558-688X,2.4,Q2,Q2
Perfiles Latinoamericanos,0188-7653,2309-4982,0.6,Q3,Q3
